experiment_id,norm_lambdas
WTSFESRT,"OrderedDict([('mean', -0.07614529780205483), ('std', 1.2846993849186772), ('median', -0.014151460692975229), ('5.0%', -1.7155677776522194), ('95.0%', 1.7265580387935542), ('n_eff', 425806.8711599516), ('r_hat', 1.00137750367962)])"
experiment_id,norm_lambdas
OZQXMBTM,"OrderedDict([('mean', -0.2757571360394175), ('std', 2.111149591101785), ('median', -0.04223999915663458), ('5.0%', -1.8915022841531215), ('95.0%', 1.8380761578757079), ('n_eff', 436067.0806389949), ('r_hat', 1.0068526182445274)])"
experiment_id,norm_lambdas
CB91SD7M,"OrderedDict([('mean', -1.1078816491213281), ('std', 4.520351895854601), ('median', -0.21835729332553894), ('5.0%', -3.08533167024937), ('95.0%', 2.3979966241794415), ('n_eff', 223456.66675676676), ('r_hat', 1.0311083357569673)])"
experiment_id,norm_lambdas
5VUFP69A,"OrderedDict([('mean', 0.043008034326657854), ('std', 2.036144012224366), ('median', 0.10138753806012124), ('5.0%', -1.8446254739690964), ('95.0%', 2.05647660619547), ('n_eff', 530285.431023506), ('r_hat', 0.9901701411089925)])"
experiment_id,norm_lambdas
J4P74GKE,"OrderedDict([('mean', -0.19548784578435524), ('std', 1.8195243956627087), ('median', -0.0617135341888013), ('5.0%', -1.8656984810200294), ('95.0%', 1.7786905976993792), ('n_eff', 416683.44527048233), ('r_hat', 1.009029443156117)])"
experiment_id,norm_lambdas
S8GX38LX,"OrderedDict([('mean', -0.1291439051812691), ('std', 1.7878146097020275), ('median', -0.054409718536855986), ('5.0%', -1.9633651452676586), ('95.0%', 1.8928328897165836), ('n_eff', 359976.25283666793), ('r_hat', 1.0066139842731896)])"
experiment_id,norm_lambdas
L1140EWH,"OrderedDict([('mean', -0.12113370723904406), ('std', 1.7323611772568686), ('median', -0.018043815635997502), ('5.0%', -1.789404728310332), ('95.0%', 1.7814053611482346), ('n_eff', 427654.10012348753), ('r_hat', 1.0049806239417796)])"
experiment_id,norm_lambdas
DQFFFGMT,"OrderedDict([('mean', -0.02791065817736883), ('std', 1.710523708827201), ('median', 0.008119063170532846), ('5.0%', -1.79000074572818), ('95.0%', 1.8035672406466214), ('n_eff', 604169.5010345263), ('r_hat', 0.9988460765996964)])"
experiment_id,norm_lambdas
5N4CBIGU,"OrderedDict([('mean', -0.10796163476731227), ('std', 3.775307720634741), ('median', 0.10646307245008953), ('5.0%', -3.4569552429845443), ('95.0%', 4.105720210455126), ('n_eff', 679761.2817245778), ('r_hat', 0.9947308944467871)])"
experiment_id,norm_lambdas
GJEQGMPI,"OrderedDict([('mean', -0.002589006123348459), ('std', 1.5571997759919392), ('median', 0.0289490724731227), ('5.0%', -1.7140185910692134), ('95.0%', 1.7589734183326318), ('n_eff', 623262.533561165), ('r_hat', 1.0005746943750384)])"
experiment_id,norm_lambdas
XR4QA6HG,"OrderedDict([('mean', -0.028461976990104377), ('std', 1.3958027794929666), ('median', 0.015012637112388306), ('5.0%', -1.7055645943866897), ('95.0%', 1.7869931600671702), ('n_eff', 590423.53898465), ('r_hat', 1.0008728906593338)])"
experiment_id,norm_lambdas
EZWQL1X8,"OrderedDict([('mean', -0.2734290047679009), ('std', 3.0295438915784665), ('median', -0.11636251109605575), ('5.0%', -2.8661229750043944), ('95.0%', 2.469440121082384), ('n_eff', 491722.8108151412), ('r_hat', 1.0046156838474234)])"
experiment_id,norm_lambdas
RIWG2XNG,"OrderedDict([('mean', 0.08401744664218082), ('std', 1.0859612219844623), ('median', 0.06333177091891917), ('5.0%', -1.6609269692452318), ('95.0%', 1.7650066374149262), ('n_eff', 511457.76944834326), ('r_hat', 1.0011941835585711)])"
experiment_id,norm_lambdas
C7XLPS2V,"OrderedDict([('mean', -1.8219435032138596), ('std', 6.72701762061283), ('median', -0.46685880761047105), ('5.0%', -11.792659503394916), ('95.0%', 6.922884227313874), ('n_eff', 193843.527459446), ('r_hat', 1.0455337007871295)])"
experiment_id,norm_lambdas
PSDACSR6,"OrderedDict([('mean', -0.03459479914957542), ('std', 1.8114964362994346), ('median', 0.023478654725458722), ('5.0%', -1.7152039508234052), ('95.0%', 1.7784559408909717), ('n_eff', 564508.2476980323), ('r_hat', 1.0020862163398372)])"
experiment_id,norm_lambdas
DOZSNBVE,"OrderedDict([('mean', -0.10509475808511602), ('std', 1.6107070133039518), ('median', -0.016861905125832084), ('5.0%', -1.7356186321538987), ('95.0%', 1.734606161628078), ('n_eff', 639857.08754695), ('r_hat', 1.0033248985213838)])"
experiment_id,norm_lambdas
