experiment_id,norm_lambdas
08WOPA7S,"OrderedDict([('mean', -0.17612026452814203), ('std', 2.310744993157315), ('median', -0.02100223427831724), ('5.0%', -2.1004334788719548), ('95.0%', 2.0484350263676165), ('n_eff', 581275.5357290215), ('r_hat', 1.0051521557156662)])"
experiment_id,norm_lambdas
IY95MC4U,"OrderedDict([('mean', -0.11247321301574839), ('std', 2.4113207874636355), ('median', -0.011413684456818632), ('5.0%', -1.9997660047045036), ('95.0%', 1.9540197409948974), ('n_eff', 526171.071562133), ('r_hat', 1.004275057019587)])"
experiment_id,norm_lambdas
YROVB8HH,"OrderedDict([('mean', -0.11113555998199226), ('std', 1.93999882814026), ('median', 0.013382885736834393), ('5.0%', -1.855744988882198), ('95.0%', 1.897324407261442), ('n_eff', 630880.3209621783), ('r_hat', 0.9978519192359336)])"
experiment_id,norm_lambdas
CXTB9B2I,"OrderedDict([('mean', -0.46262453036171763), ('std', 3.6568916888506835), ('median', -0.2123339348138617), ('5.0%', -3.48916752498102), ('95.0%', 2.582756034563169), ('n_eff', 604744.192239223), ('r_hat', 0.9985689841588927)])"
experiment_id,norm_lambdas
DRFM1T77,"OrderedDict([('mean', -0.24156488685064678), ('std', 2.1740405893000156), ('median', -0.042537956441062966), ('5.0%', -1.9265995074854139), ('95.0%', 1.881783706644003), ('n_eff', 605361.4198694563), ('r_hat', 0.9968640835093542)])"
experiment_id,norm_lambdas
2S3WSBR3,"OrderedDict([('mean', -0.42228351029520367), ('std', 3.3186639681563426), ('median', -0.07871259582288948), ('5.0%', -2.7452326286723694), ('95.0%', 2.5303133464497427), ('n_eff', 446944.7899793668), ('r_hat', 0.9976703241719334)])"
experiment_id,norm_lambdas
VQ5ZFRRK,"OrderedDict([('mean', -0.5268635040920803), ('std', 4.329158137314575), ('median', -0.17692903054164777), ('5.0%', -3.9372722914808067), ('95.0%', 2.974291154270197), ('n_eff', 494698.7143782118), ('r_hat', 1.0066285212738453)])"
experiment_id,norm_lambdas
7TD1KCUZ,"OrderedDict([('mean', -0.4954904495406904), ('std', 4.27945036772221), ('median', -0.17794770737898846), ('5.0%', -4.089666558615092), ('95.0%', 2.9082324759850025), ('n_eff', 483110.02331541403), ('r_hat', 1.0066225091603647)])"
experiment_id,norm_lambdas
9XA29WKA,"OrderedDict([('mean', 0.006341245105947812), ('std', 1.4383227144860502), ('median', 0.020550253009625107), ('5.0%', -1.7959820287822825), ('95.0%', 1.8224971336296918), ('n_eff', 653433.969380921), ('r_hat', 0.996189057161888)])"
experiment_id,norm_lambdas
T06IC1HB,"OrderedDict([('mean', -1.6999774687051685), ('std', 6.1985784505018175), ('median', -0.8204186928093637), ('5.0%', -10.047288605388893), ('95.0%', 5.13200348850153), ('n_eff', 528165.4125312978), ('r_hat', 1.012717058103131)])"
experiment_id,norm_lambdas
H4Q0A9F3,"OrderedDict([('mean', 0.006273050826998801), ('std', 1.4395035909419225), ('median', 0.021006007150922712), ('5.0%', -1.7936553460558127), ('95.0%', 1.8272417444405766), ('n_eff', 651110.9511806433), ('r_hat', 0.9963266879047769)])"
experiment_id,norm_lambdas
LGL46X4A,"OrderedDict([('mean', -0.12042047970471562), ('std', 2.2341539361887484), ('median', -0.013962788052906214), ('5.0%', -1.959271170414361), ('95.0%', 1.931040101571293), ('n_eff', 566431.0219729017), ('r_hat', 1.0034708389948754)])"
experiment_id,norm_lambdas
MNPBDZUW,"OrderedDict([('mean', -1.7247509360622502), ('std', 6.293278424105799), ('median', -0.8173043801926314), ('5.0%', -10.145886927993404), ('95.0%', 5.0937580369087945), ('n_eff', 509152.1531387227), ('r_hat', 1.0139216322552627)])"
experiment_id,norm_lambdas
V0WWJU0M,"OrderedDict([('mean', 0.007730471867905457), ('std', 1.4607771153389697), ('median', 0.019459059916560245), ('5.0%', -1.778621253084858), ('95.0%', 1.844238981203522), ('n_eff', 653990.9305805354), ('r_hat', 0.9959321495869217)])"
experiment_id,norm_lambdas
LC702PMZ,"OrderedDict([('mean', -0.20049591870655173), ('std', 1.9021614927688177), ('median', -0.048892663208584264), ('5.0%', -1.9438538549524693), ('95.0%', 1.8959668504444702), ('n_eff', 887269.2891113057), ('r_hat', 0.9977271064253181)])"
experiment_id,norm_lambdas
E1J5R2JA,"OrderedDict([('mean', -0.20111470487757171), ('std', 1.85688335188503), ('median', -0.062224666300511614), ('5.0%', -1.9007546647204652), ('95.0%', 1.8073477584993785), ('n_eff', 898900.6016432658), ('r_hat', 0.998836191648503)])"
experiment_id,norm_lambdas
7Y5F48KN,"OrderedDict([('mean', -0.20049591870655173), ('std', 1.9021614927688177), ('median', -0.048892663208584264), ('5.0%', -1.9438538549524693), ('95.0%', 1.8959668504444702), ('n_eff', 887269.2891113057), ('r_hat', 0.9977271064253181)])"
experiment_id,norm_lambdas
EVRJ81EV,"OrderedDict([('mean', -0.5268635040920803), ('std', 4.329158137314575), ('median', -0.17692903054164777), ('5.0%', -3.9372722914808067), ('95.0%', 2.974291154270197), ('n_eff', 494698.7143782118), ('r_hat', 1.0066285212738453)])"
experiment_id,norm_lambdas
MO5W1B39,"OrderedDict([('mean', -0.11323283921186142), ('std', 2.3974267458705114), ('median', -0.012384381128954649), ('5.0%', -1.9715057228666), ('95.0%', 1.9607835136716512), ('n_eff', 519237.6927521882), ('r_hat', 1.003998171386607)])"
experiment_id,norm_lambdas
